word,freq,numSyl,numLet,imag,conc,meaning,isTarget,posInWord,hasS
thief,28,1,5,5.7,6.08,6.5,0,0,0
dust,50,1,4,6.03,6.67,6.84,1,2,1
frog,25,1,4,6.73,6.96,6.56,0,0,0
custom,50,2,6,3.43,2.99,5.33,1,2,1
prestige,7,2,8,3.67,1.73,4.56,1,2,1
boulder,50,2,7,6.13,6.96,5.88,0,0,0
sultan,14,2,6,5.57,6.52,7.24,1,1,1
journal,100,2,7,5.6,6.69,5.88,0,0,0
moss,22,1,4,6.33,6.87,7.04,1,3,1
menace,21,2,6,3.73,3.7,5.04,1,3,1
star,100,1,4,6.7,6.73,7.04,1,1,1
goddess,22,2,7,5.23,3.04,6.48,1,3,1
dress,100,1,5,6.53,6.93,5.68,1,3,1
steam,50,1,5,6.37,6.41,7.46,1,1,1
village,100,2,7,6.5,6.69,5.32,0,0,0
sulphur,21,2,7,6.03,6.72,6.25,1,1,1
storm,100,1,5,6.43,6.45,7.21,1,1,1
winter,100,2,6,6.53,5.83,8.32,0,0,0
excuse,50,2,6,2.77,3.05,4.04,1,3,1
mast,26,1,4,6.43,6.96,7.12,1,2,1
hillside,20,2,8,6.3,6.59,6.92,1,2,1
cash,46,1,4,6.17,6.28,7.21,0,0,1
artist,50,2,6,5.93,6.14,6.65,1,2,1
kettle,27,2,6,6.23,7,7.44,0,0,0
shock,50,1,5,4.67,3.97,6.2,0,0,1
shore,100,1,5,6.63,6.69,8.13,0,0,1
blister,6,2,7,6.53,6.67,7.13,1,2,1
shoes,100,1,5,6.63,7,7.52,0,0,1
wine,50,1,4,6.6,6.96,7.54,0,0,0
elbow,26,2,5,6.3,6.94,5.16,0,0,0
mischief,20,2,8,4.03,2.9,5.44,1,2,1
malice,10,2,6,3.3,1.73,4.56,1,2,1
grass,100,1,5,6.63,6.96,7.54,1,3,1
power,100,2,5,4.47,2.73,5.88,0,0,0
singer,20,2,6,6.17,6.35,6.64,1,1,1
building,100,2,8,6.4,6.94,5.48,0,0,0
saloon,12,2,6,6.43,6.7,7.12,1,1,1
casement,6,2,8,4.63,6.24,5.25,1,2,1
speaker,25,2,7,5.67,6.13,5.54,1,1,1
corpse,9,1,6,6.5,6.89,6.52,1,3,1
woman,100,2,5,6.7,6.63,6.4,0,0,0
madness,12,2,7,4.03,2.35,5.16,1,3,1
street,100,1,6,6.57,6.62,7.48,1,1,1
swamp,29,1,5,6.33,6.62,6.67,1,1,1
flesh,50,1,5,6.13,6.9,5.84,0,0,1
pressure,48,2,8,4.1,3.63,5.8,0,0,1
girl,100,1,4,6.87,6.83,5.12,0,0,0
steamer,28,2,7,6.53,6.94,6.32,1,1,1
lump,20,1,4,5.63,6.2,5.44,0,0,0
seat,100,1,4,6.4,6.79,6.08,1,1,1
skull,13,1,5,6.47,6.96,6.64,1,1,1
hardship,19,2,8,4.1,2.93,5.48,0,0,1
troops,50,1,6,6.13,6.69,7.54,1,3,1
maker,27,2,5,3.57,4.46,5,0,0,0
pleasure,100,2,8,4.8,2.1,5.54,0,0,1
contents,21,2,8,3.57,4.25,5,1,3,1
sea,100,1,3,6.73,6.79,7.16,1,1,1
soil,100,1,4,6,6.87,8,1,1,1
fox,25,1,3,6.73,7,7.4,1,3,1
sky,100,1,3,6.73,6.18,7.84,1,1,1
basement,8,2,8,6.03,6.83,6.83,1,2,1
blacksmith,19,2,10,6.17,6.83,7.44,1,2,1
bloom,35,1,5,5.63,5.82,5.12,0,0,0
vest,21,1,4,6.37,6.73,5.96,1,2,1
leader,100,2,6,5.13,5.83,6.16,0,0,0
palace,50,2,6,6.5,6.73,7.08,1,3,1
friction,9,2,8,4.33,4.26,5.28,0,0,0
satire,7,2,6,3.37,2.33,5.64,1,1,1
event,50,2,5,2.9,3.72,5.04,0,0,0
landscape,19,2,9,6.43,6.2,7.12,1,2,1
cigar,16,2,5,6.8,6.96,6.22,1,1,1
season,100,2,6,4.87,4.58,7.88,1,4,1
